iter	Passed	Remaining
0	1	132
1	2	123
2	3	110
3	4	98
4	5	95
5	5	92
6	6	90
7	8	94
8	9	98
9	10	98
10	12	99
11	13	100
12	14	99
13	15	97
14	16	95
15	17	94
16	19	95
17	21	96
18	22	96
19	23	95
20	25	95
21	27	95
22	28	95
23	31	98
24	32	98
25	34	97
26	36	97
27	37	96
28	39	95
29	40	94
30	41	92
31	43	91
32	44	90
33	46	89
34	48	89
35	49	87
36	50	85
37	51	83
38	52	81
39	53	79
40	54	78
41	54	75
42	56	74
43	57	73
44	58	72
45	59	70
46	60	68
47	61	67
48	62	65
49	63	63
50	65	62
51	66	61
52	67	60
53	69	58
54	70	57
55	71	56
56	72	54
57	73	53
58	74	51
59	75	50
60	76	49
61	77	47
62	79	46
63	80	45
64	81	43
65	82	42
66	84	41
67	85	40
68	87	39
69	89	38
70	90	37
71	92	35
72	93	34
73	95	33
74	96	32
75	98	30
76	99	29
77	101	28
78	102	27
79	103	25
80	105	24
81	106	23
82	107	22
83	108	20
84	109	19
85	112	18
86	113	16
87	114	15
88	116	14
89	117	13
90	118	11
91	119	10
92	120	9
93	121	7
94	122	6
95	123	5
96	124	3
97	125	2
98	126	1
99	127	0
