iter	Passed	Remaining
0	50	50311
1	51	25491
2	51	17259
3	52	13141
4	53	10615
5	54	8953
6	54	7723
7	54	6806
8	55	6091
9	55	5519
10	56	5060
11	56	4667
12	57	4334
13	57	4048
14	58	3830
15	58	3619
16	59	3426
17	59	3255
18	60	3098
19	60	2958
20	60	2834
21	61	2719
22	61	2613
23	61	2515
24	62	2426
25	62	2344
26	62	2266
27	63	2195
28	63	2133
29	64	2091
30	65	2036
31	65	1983
32	65	1933
33	66	1886
34	66	1841
35	67	1798
36	67	1759
37	68	1726
38	68	1690
39	69	1656
40	69	1622
41	69	1590
42	70	1560
43	70	1530
44	70	1504
45	71	1478
46	71	1452
47	71	1427
48	72	1403
49	72	1381
50	73	1360
51	73	1339
52	73	1319
53	74	1301
54	74	1281
55	74	1263
56	75	1244
57	75	1230
58	76	1213
59	76	1197
60	76	1183
61	77	1170
62	77	1157
63	78	1145
64	78	1134
65	79	1122
66	79	1109
67	80	1101
68	80	1090
69	81	1079
70	81	1070
71	82	1059
72	82	1049
73	83	1039
74	83	1028
75	83	1019
76	84	1009
77	84	1000
78	85	991
79	85	982
80	85	974
81	86	965
82	86	955
83	86	947
84	87	939
85	87	931
86	87	923
87	88	915
88	88	907
89	88	899
90	89	892
91	89	885
92	90	878
93	90	871
94	90	864
95	91	859
96	91	853
97	92	847
98	92	841
99	92	835
100	93	829
101	93	824
102	93	818
103	94	812
104	94	808
105	95	802
106	95	797
107	95	791
108	96	788
109	96	783
110	97	778
111	97	774
112	98	770
113	98	766
114	99	762
115	99	760
116	100	756
117	100	752
118	101	747
119	101	744
120	102	741
121	102	737
122	102	733
123	103	730
124	103	726
125	104	723
126	104	719
127	105	716
128	105	712
129	105	709
130	106	705
131	106	701
132	107	699
133	107	695
134	107	691
135	108	688
136	108	684
137	109	681
138	109	678
139	109	675
140	110	672
141	110	667
142	110	664
143	111	661
144	111	657
145	111	654
146	112	651
147	112	648
148	113	646
149	113	643
150	113	640
151	114	638
152	114	636
153	115	633
154	115	631
155	116	628
156	116	626
157	117	623
158	117	621
159	117	618
160	118	615
161	118	613
162	118	610
163	119	608
164	119	605
165	120	603
166	120	600
167	120	598
168	121	595
169	121	593
170	121	590
171	122	588
172	122	586
173	123	584
174	123	582
175	123	579
176	124	577
177	124	575
178	124	573
179	125	571
180	126	570
181	126	568
182	127	567
183	127	567
184	129	570
185	129	568
186	130	566
187	130	565
188	131	563
189	131	561
190	132	559
191	132	558
192	132	556
193	133	554
194	133	551
195	134	550
196	134	548
197	134	546
198	135	544
199	136	544
200	136	542
201	136	540
202	137	538
203	137	537
204	138	535
205	138	534
206	139	532
207	139	530
208	139	529
209	140	527
210	140	526
211	141	524
212	141	522
213	141	521
214	142	519
215	142	517
216	143	516
217	143	514
218	143	513
219	144	511
220	144	510
221	145	508
222	145	506
223	145	505
224	146	503
225	146	501
226	146	500
227	147	498
228	147	496
229	148	495
230	148	494
231	149	493
232	149	492
233	150	491
234	150	490
235	151	490
236	152	490
237	152	489
238	153	488
239	153	487
240	154	485
241	154	484
242	155	483
243	155	482
244	155	480
245	156	479
246	156	477
247	157	476
248	157	475
249	158	474
250	158	473
251	158	471
252	159	470
253	159	469
254	160	468
255	160	467
256	161	466
257	161	465
258	162	463
259	162	463
260	163	462
261	163	461
262	164	460
263	164	459
264	165	457
265	165	456
266	165	455
267	166	454
268	166	452
269	167	451
270	167	450
271	167	449
272	168	447
273	168	446
274	169	445
275	169	444
276	169	443
277	170	441
278	170	440
279	171	439
280	171	438
281	171	437
282	172	436
283	172	435
284	173	434
285	173	433
286	173	432
287	174	431
288	175	430
289	175	429
290	175	428
291	176	427
292	177	427
293	177	426
294	178	425
295	178	424
296	179	423
297	179	422
298	180	422
299	180	421
300	180	420
301	181	419
302	181	418
303	182	417
304	182	416
305	183	415
306	183	414
307	184	413
308	184	412
309	185	411
